page_url,number
https://www.pusan.ac.kr/kor/CMS/Board/PopupBoard.do?robot=Y&mgr_seq=3&mode=list&page=2,312
https://www.pusan.ac.kr/kor/CMS/Board/PopupBoard.do?mgr_seq=3&mode=list,315
https://ppm.pusan.ac.kr/ppm/17493/subview.do,287
https://biz.pusan.ac.kr/biz/14344/subview.do,2574
https://biz.pusan.ac.kr/biz/14345/subview.do,1240
https://biz.pusan.ac.kr/biz/48588/subview.do,1074
https://biz.pusan.ac.kr/biz/48589/subview.do,552
https://ibe.pusan.ac.kr/ibe/50167/subview.do,359
https://cse.pusan.ac.kr/cse/14651/subview.do,4916
https://cse.pusan.ac.kr/cse/14659/subview.do,1170
https://cse.pusan.ac.kr/cse/14667/subview.do,2626
https://cse.pusan.ac.kr/cse/54538/subview.do,1676
https://cse.pusan.ac.kr/cse/14669/subview.do,311
https://cse.pusan.ac.kr/cse/50876/subview.do,145
https://bce.pusan.ac.kr/bce/50189/subview.do,1783
https://bce.pusan.ac.kr/bce/51703/subview.do,376
https://bce.pusan.ac.kr/bce/72281/subview.do,133
https://ai.pusan.ac.kr/ai/60711/subview.do,546
https://graduate.pusan.ac.kr/gsis/52005/subview.do,638
https://graduate.pusan.ac.kr/gsis/52006/subview.do,150
https://art.pusan.ac.kr/art/14169/subview.do,16
https://music.pusan.ac.kr/music/16183/subview.do,1232
https://music.pusan.ac.kr/music/16187/subview.do,591
https://gukak.pusan.ac.kr/gukak/20347/subview.do,963
https://pnuart.pusan.ac.kr/pnuart/20095/subview.do,258
https://plarts.pusan.ac.kr/plarts/22177/subview.do,285
https://design.pusan.ac.kr/design/16811/subview.do,399
https://dance.pusan.ac.kr/dance/21024/subview.do,34
https://artimage.pusan.ac.kr/artimage/16476/subview.do,523
https://artimage.pusan.ac.kr/artimage/16480/subview.do,120
https://che.pusan.ac.kr/che/14121/subview.do,293
https://cdfs.pusan.ac.kr/cdfs/17266/subview.do,1669
https://cdfs.pusan.ac.kr/cdfs/17269/subview.do,139
https://fashion.pusan.ac.kr/fashion/17222/subview.do,2329
https://fsn.pusan.ac.kr/fsn/15462/subview.do,296
https://fsn.pusan.ac.kr/fsn/15438/subview.do,179
https://hid.pusan.ac.kr/hid/17458/subview.do,908
https://hid.pusan.ac.kr/hid/73525/subview.do,11
https://hid.pusan.ac.kr/hid/73526/subview.do,2
https://hid.pusan.ac.kr/hid/17462/subview.do,185
https://sportscience.pusan.ac.kr/sportscience/14558/subview.do,1156
https://sportscience.pusan.ac.kr/sportscience/14564/subview.do,51
https://nrls.pusan.ac.kr/nrls/14277/subview.do,202
https://his.pusan.ac.kr/horticulture/21127/subview.do,506
https://his.pusan.ac.kr/horticulture/21122/subview.do,85
https://his.pusan.ac.kr/horticulture/21131/subview.do,83
https://animal.pusan.ac.kr/animal/16623/subview.do,772
https://fst.pusan.ac.kr/fst/20152/subview.do,240
https://pnu-lseb.pusan.ac.kr/pnu-lseb/21666/subview.do,571
https://bime.pusan.ac.kr/bime/19547/subview.do,89
https://agecon.pusan.ac.kr/agecon/20884/subview.do,490
https://agecon.pusan.ac.kr/agecon/20885/subview.do,56
https://ite.pusan.ac.kr/ite/16028/subview.do,612
https://bee.pusan.ac.kr/bee/19926/subview.do,1565
https://dent.pusan.ac.kr/newdent/11881/subview.do,417
https://dent.pusan.ac.kr/newdent/53492/subview.do,3
https://kmed.pusan.ac.kr/kmed/13885/subview.do,459
https://kmed.pusan.ac.kr/kmed/13887/subview.do,80
https://kmed.pusan.ac.kr/kmed/54499/subview.do,18
https://pharmacy.pusan.ac.kr/pharmacy/13582/subview.do,1720
https://pharmacy.pusan.ac.kr/pharmacy/49158/subview.do,317
https://nursing.pusan.ac.kr/nursing/14523/subview.do,1054
https://nursing.pusan.ac.kr/nursing/14524/subview.do,2259
https://nursing.pusan.ac.kr/nursing/49322/subview.do,112
https://collegeoflaw.pusan.ac.kr/collegeoflaw/19583/subview.do,1294
https://collegeoflaw.pusan.ac.kr/collegeoflaw/19584/subview.do,187
https://collegeoflaw.pusan.ac.kr/collegeoflaw/19585/subview.do,212
https://law.pusan.ac.kr/law/19751/subview.do,4657
https://law.pusan.ac.kr/law/19753/subview.do,1354
https://women.pusan.ac.kr/women/37794/subview.do,130
https://gifted.pusan.ac.kr/gifted/15052/subview.do,1034
https://edc.pusan.ac.kr/edc/43177/subview.do,200
https://climatesystem.pusan.ac.kr/climate/40483/subview.do,58
https://edumedia.pusan.ac.kr/edumedia/70864/subview.do,54
https://rimt.pusan.ac.kr/rimt/39690/subview.do,30
http://meindustry.org/page/board/board.php?TREE_NO=88&DEPTH=2,10
https://u-spec.pusan.ac.kr/u-spec/71319/subview.do,30
https://gsedu.pusan.ac.kr/gsedu/26088/subview.do,477
https://humanities.pusan.ac.kr/humanities/12779/subview.do,679
https://bkorea.pusan.ac.kr/bkorea/16906/subview.do,3031
https://bkorea.pusan.ac.kr/bkorea/16907/subview.do,1217
https://bkorea.pusan.ac.kr/bkorea/16911/subview.do,582
https://bkorea.pusan.ac.kr/bkorea/16912/subview.do,906
https://japan.pusan.ac.kr/japan/17131/subview.do,2208
https://japan.pusan.ac.kr/japan/17137/subview.do,687
https://japan.pusan.ac.kr/japan/17135/subview.do,900
https://french.pusan.ac.kr/french/21555/subview.do,785
https://french.pusan.ac.kr/french/21559/subview.do,29
https://russia.pusan.ac.kr/russia/63860/subview.do,375
https://russia.pusan.ac.kr/russia/63861/subview.do,50
https://russia.pusan.ac.kr/russia/71923/subview.do,24
https://russia.pusan.ac.kr/russia/63862/subview.do,736
https://china.pusan.ac.kr/china/26533/subview.do,736
https://china.pusan.ac.kr/china/26558/subview.do,321
https://china.pusan.ac.kr/china/26560/subview.do,165
https://pnuenglish.pusan.ac.kr/pnuenglish/15940/subview.do,3160
https://pnuenglish.pusan.ac.kr/pnuenglish/15941/subview.do,957
https://pnuenglish.pusan.ac.kr/pnuenglish/15942/subview.do,1556
https://german.pusan.ac.kr/german/25194/subview.do,1278
https://german.pusan.ac.kr/german/25210/subview.do,197
https://german.pusan.ac.kr/german/25211/subview.do,1484
https://german.pusan.ac.kr/german/31506/subview.do,1339
https://hanmun.pusan.ac.kr/hanmun/20474/subview.do,1057
https://hanmun.pusan.ac.kr/hanmun/20475/subview.do,87
https://hanmun.pusan.ac.kr/hanmun/20480/subview.do,827
https://linguistics.pusan.ac.kr/linguistics/20939/subview.do,1147
https://linguistics.pusan.ac.kr/linguistics/20941/subview.do,324
https://history.pusan.ac.kr/history/17355/subview.do,2600
https://history.pusan.ac.kr/history/49309/subview.do,666
https://philosophy.pusan.ac.kr/philosophy/17294/subview.do,3639
https://philosophy.pusan.ac.kr/philosophy/17297/subview.do,359
https://philosophy.pusan.ac.kr/philosophy/71124/subview.do,1
https://philosophy.pusan.ac.kr/philosophy/71125/subview.do,11
https://archaeology.pusan.ac.kr/archaeology/21071/subview.do,1952
https://archaeology.pusan.ac.kr/archaeology/65644/subview.do,593
https://eng.pusan.ac.kr/eng/23336/subview.do,121
https://me.pusan.ac.kr/new/sub05/sub01_01.asp,3902
https://me.pusan.ac.kr/new/sub05/sub01_02.asp,2689
https://me.pusan.ac.kr/new/sub05/sub01_05.asp,241
https://polymer.pusan.ac.kr/polymer/64486/subview.do,784
https://polymer.pusan.ac.kr/polymer/16546/subview.do,198
https://polymer.pusan.ac.kr/polymer/16547/subview.do,988
https://omse.pusan.ac.kr/omse/16246/subview.do,342
https://chemeng.pusan.ac.kr/chemeng/15735/subview.do,134
https://chemeng.pusan.ac.kr/chemeng/15737/subview.do,210
https://pnuenv.pusan.ac.kr/pnuenv/15177/subview.do,3345
https://pnuenv.pusan.ac.kr/pnuenv/15180/subview.do,938
https://ee.pusan.ac.kr/ee/ug-notice.do,2606
https://eec.pusan.ac.kr/eehome/14870/subview.do,3188
https://eec.pusan.ac.kr/eehome/14871/subview.do,557
https://eec.pusan.ac.kr/eehome/14872/subview.do,1115
https://semi.pusan.ac.kr/semi/71943/subview.do,116
https://naoe.pusan.ac.kr/naoe/15332/subview.do,436
https://naoe.pusan.ac.kr/naoe/15334/subview.do,145
https://naoe.pusan.ac.kr/naoe/32014/subview.do,265
https://mse.pusan.ac.kr/mse/38585/subview.do,1241
https://mse.pusan.ac.kr/mse/50825/subview.do,217
https://mse.pusan.ac.kr/mse/50826/subview.do,805
https://mse.pusan.ac.kr/mse/38587/subview.do,639
https://mse.pusan.ac.kr/mse/38588/subview.do,138
https://ie.pusan.ac.kr/ie/73110/subview.do,1544
https://ie.pusan.ac.kr/ie/19428/subview.do,4072
https://aerospace.pusan.ac.kr/aerospace/16375/subview.do,3222
https://aerospace.pusan.ac.kr/aerospace/16367/subview.do,359
https://aerospace.pusan.ac.kr/aerospace/16368/subview.do,680
https://archieng.pusan.ac.kr/_archieng/20232/subview.do,610
https://archieng.pusan.ac.kr/_archieng/57415/subview.do,43
https://archieng.pusan.ac.kr/_archieng/20233/subview.do,21
